"ID";"ShipMode";"State";"Category";"Sales";"Profit";"Quantity"
"1901fa82-3e4c-11f0-a7df-6c21638b8e2a";" Second Class ";" California ";" Labels ";14.62;6.87;2
"19025072-3e4c-11f0-a7df-6c21638b8e2a";" Standard Class ";" Florida ";" Tables ";957.58;-383.03;5
"19027750-3e4c-11f0-a7df-6c21638b8e2a";" Standard Class ";" Florida ";" Storage ";22.37;2.52;2
"19029104-3e4c-11f0-a7df-6c21638b8e2a";" Standard Class ";" California ";" Furnishings ";48.86;14.17;7
"1902ac8e-3e4c-11f0-a7df-6c21638b8e2a";" Standard Class ";" California ";" Art ";7.28;1.97;4
"1902c430-3e4c-11f0-a7df-6c21638b8e2a";" Standard Class ";" California ";" Phones ";907.15;90.72;6
"1902dfec-3e4c-11f0-a7df-6c21638b8e2a";" Standard Class ";" California ";" Binders ";18.5;5.78;3
"1902fe50-3e4c-11f0-a7df-6c21638b8e2a";" Standard Class ";" California ";" Appliances ";114.9;34.47;5
"19031c8c-3e4c-11f0-a7df-6c21638b8e2a";" Standard Class ";" California ";" Tables ";1706.18;85.31;9
"19033b7c-3e4c-11f0-a7df-6c21638b8e2a";" Standard Class ";" California ";" Phones ";911.42;68.36;4
"19035a30-3e4c-11f0-a7df-6c21638b8e2a";" Standard Class ";" North Carolina ";" Paper ";15.55;5.44;3
"190379ac-3e4c-11f0-a7df-6c21638b8e2a";" Standard Class ";" Washington ";" Binders ";407.98;132.59;3
"1903a2ba-3e4c-11f0-a7df-6c21638b8e2a";" Standard Class ";" Texas ";" Appliances ";68.81;-123.86;5
"1903c5e2-3e4c-11f0-a7df-6c21638b8e2a";" Standard Class ";" Texas ";" Binders ";2.54;-3.82;3
"1903ded8-3e4c-11f0-a7df-6c21638b8e2a";" Standard Class ";" Wisconsin ";" Storage ";665.88;13.32;6
"1903f8c8-3e4c-11f0-a7df-6c21638b8e2a";" Second Class ";" Utah ";" Storage ";55.5;9.99;2
"19040c00-3e4c-11f0-a7df-6c21638b8e2a";" Second Class ";" California ";" Art ";8.56;2.48;2
"19041cf4-3e4c-11f0-a7df-6c21638b8e2a";" Second Class ";" California ";" Phones ";213.48;16.01;3
"190431da-3e4c-11f0-a7df-6c21638b8e2a";" Second Class ";" California ";" Binders ";22.72;7.38;4
"190442c4-3e4c-11f0-a7df-6c21638b8e2a";" Standard Class ";" Nebraska ";" Art ";19.46;5.06;7
"19045804-3e4c-11f0-a7df-6c21638b8e2a";" Standard Class ";" Nebraska ";" Appliances ";60.34;15.69;7
"19047118-3e4c-11f0-a7df-6c21638b8e2a";" Second Class ";" Pennsylvania ";" Chairs ";71.37;-1.02;2
"190489d2-3e4c-11f0-a7df-6c21638b8e2a";" Standard Class ";" Utah ";" Tables ";1044.63;240.26;3
"1904a4e4-3e4c-11f0-a7df-6c21638b8e2a";" Second Class ";" California ";" Binders ";11.65;4.22;2
"1904c6d6-3e4c-11f0-a7df-6c21638b8e2a";" Second Class ";" California ";" Accessories ";90.57;11.77;3
"1904e350-3e4c-11f0-a7df-6c21638b8e2a";" Standard Class ";" Pennsylvania ";" Bookcases ";3083.43;-1665.05;7
"1904fafc-3e4c-11f0-a7df-6c21638b8e2a";" Standard Class ";" Pennsylvania ";" Binders ";9.62;-7.05;2
"19052054-3e4c-11f0-a7df-6c21638b8e2a";" Standard Class ";" Pennsylvania ";" Furnishings ";124.2;15.53;3
"190553b2-3e4c-11f0-a7df-6c21638b8e2a";" Standard Class ";" Pennsylvania ";" Envelopes ";3.26;1.1;2
"190570fe-3e4c-11f0-a7df-6c21638b8e2a";" Standard Class ";" Pennsylvania ";" Art ";86.3;9.71;6
"190587e2-3e4c-11f0-a7df-6c21638b8e2a";" Standard Class ";" Pennsylvania ";" Binders ";6.86;-5.72;6
"1905a5ce-3e4c-11f0-a7df-6c21638b8e2a";" Standard Class ";" Pennsylvania ";" Art ";15.76;3.55;2
"1905bcbc-3e4c-11f0-a7df-6c21638b8e2a";" Second Class ";" Texas ";" Paper ";29.47;9.95;3
"1905d814-3e4c-11f0-a7df-6c21638b8e2a";" First Class ";" Texas ";" Phones ";1097.54;123.47;7
"1905fe3e-3e4c-11f0-a7df-6c21638b8e2a";" First Class ";" Texas ";" Furnishings ";190.92;-147.96;5
"190613e2-3e4c-11f0-a7df-6c21638b8e2a";" Standard Class ";" Texas ";" Envelopes ";113.33;35.42;9
"19062648-3e4c-11f0-a7df-6c21638b8e2a";" Standard Class ";" Texas ";" Bookcases ";532.4;-46.98;3
"19063c64-3e4c-11f0-a7df-6c21638b8e2a";" Standard Class ";" Texas ";" Chairs ";212.06;-15.15;3
"19065e2e-3e4c-11f0-a7df-6c21638b8e2a";" Standard Class ";" Texas ";" Phones ";371.17;41.76;4
"19067f94-3e4c-11f0-a7df-6c21638b8e2a";" Standard Class ";" Illinois ";" Phones ";147.17;16.56;4
"19069448-3e4c-11f0-a7df-6c21638b8e2a";" Standard Class ";" California ";" Storage ";77.88;3.89;2
"1906aa50-3e4c-11f0-a7df-6c21638b8e2a";" Standard Class ";" Florida ";" Storage ";95.62;9.56;2
"1906be3c-3e4c-11f0-a7df-6c21638b8e2a";" First Class ";" Minnesota ";" Accessories ";45.98;19.77;2
"1906d160-3e4c-11f0-a7df-6c21638b8e2a";" First Class ";" Minnesota ";" Binders ";17.46;8.21;2
"1906e3bc-3e4c-11f0-a7df-6c21638b8e2a";" Second Class ";" Michigan ";" Storage ";211.96;8.48;4
"1906f5d2-3e4c-11f0-a7df-6c21638b8e2a";" Standard Class ";" Delaware ";" Accessories ";45.0;4.95;3
"19070450-3e4c-11f0-a7df-6c21638b8e2a";" Standard Class ";" Delaware ";" Phones ";21.8;6.1;2
"19071954-3e4c-11f0-a7df-6c21638b8e2a";" Standard Class ";" Indiana ";" Binders ";38.22;17.96;6
"19073286-3e4c-11f0-a7df-6c21638b8e2a";" Standard Class ";" Indiana ";" Labels ";75.18;35.33;6
"19074c9e-3e4c-11f0-a7df-6c21638b8e2a";" Standard Class ";" Indiana ";" Furnishings ";6.16;2.96;2
"19076288-3e4c-11f0-a7df-6c21638b8e2a";" Standard Class ";" Indiana ";" Chairs ";89.99;17.1;1
"19077476-3e4c-11f0-a7df-6c21638b8e2a";" Standard Class ";" New York ";" Fasteners ";15.26;6.26;7
"19078812-3e4c-11f0-a7df-6c21638b8e2a";" Standard Class ";" New York ";" Phones ";1029.95;298.69;5
"19079a46-3e4c-11f0-a7df-6c21638b8e2a";" First Class ";" New York ";" Storage ";208.56;52.14;6
"1907a810-3e4c-11f0-a7df-6c21638b8e2a";" First Class ";" New York ";" Paper ";32.4;15.55;5
"1907c00c-3e4c-11f0-a7df-6c21638b8e2a";" First Class ";" New York ";" Chairs ";319.41;7.1;5
"1907d6fa-3e4c-11f0-a7df-6c21638b8e2a";" First Class ";" New York ";" Paper ";14.56;6.99;2
"1907eeec-3e4c-11f0-a7df-6c21638b8e2a";" First Class ";" New York ";" Accessories ";30.0;3.3;2
"1907fe8c-3e4c-11f0-a7df-6c21638b8e2a";" First Class ";" New York ";" Binders ";48.48;16.36;4
"19081980-3e4c-11f0-a7df-6c21638b8e2a";" First Class ";" New York ";" Art ";1.68;0.84;1
"19082c68-3e4c-11f0-a7df-6c21638b8e2a";" Standard Class ";" California ";" Accessories ";13.98;6.15;2
"1908436a-3e4c-11f0-a7df-6c21638b8e2a";" Standard Class ";" California ";" Binders ";25.82;9.36;6
"19085cce-3e4c-11f0-a7df-6c21638b8e2a";" Standard Class ";" California ";" Paper ";146.73;68.96;3
"190872b8-3e4c-11f0-a7df-6c21638b8e2a";" Standard Class ";" California ";" Furnishings ";79.76;22.33;4
"19088762-3e4c-11f0-a7df-6c21638b8e2a";" Standard Class ";" Illinois ";" Chairs ";213.12;-15.22;5
"19089cb6-3e4c-11f0-a7df-6c21638b8e2a";" Standard Class ";" Arizona ";" Art ";1113.02;111.3;8
"1908b200-3e4c-11f0-a7df-6c21638b8e2a";" Standard Class ";" Arizona ";" Phones ";167.97;62.99;4
"1908ccc2-3e4c-11f0-a7df-6c21638b8e2a";" First Class ";" Virginia ";" Paper ";75.88;35.66;2
"1908eec8-3e4c-11f0-a7df-6c21638b8e2a";" Standard Class ";" New York ";" Binders ";4.62;1.73;1
"19091524-3e4c-11f0-a7df-6c21638b8e2a";" Second Class ";" Michigan ";" Paper ";19.05;8.76;3
"19092794-3e4c-11f0-a7df-6c21638b8e2a";" Standard Class ";" Tennessee ";" Chairs ";831.94;-114.39;8
"19093950-3e4c-11f0-a7df-6c21638b8e2a";" Standard Class ";" Tennessee ";" Furnishings ";97.04;1.21;2
"19094e90-3e4c-11f0-a7df-6c21638b8e2a";" Standard Class ";" Tennessee ";" Storage ";72.78;-18.2;1
"190960f6-3e4c-11f0-a7df-6c21638b8e2a";" First Class ";" Texas ";" Binders ";1.25;-1.93;3
"190973a2-3e4c-11f0-a7df-6c21638b8e2a";" First Class ";" Texas ";" Furnishings ";9.71;-5.82;3
"19098720-3e4c-11f0-a7df-6c21638b8e2a";" First Class ";" Texas ";" Storage ";27.24;2.72;3
"19099aa8-3e4c-11f0-a7df-6c21638b8e2a";" Second Class ";" Texas ";" Furnishings ";19.3;-14.48;5
"1909bad8-3e4c-11f0-a7df-6c21638b8e2a";" First Class ";" Alabama ";" Appliances ";208.16;56.2;1
"1909d69e-3e4c-11f0-a7df-6c21638b8e2a";" First Class ";" Alabama ";" Binders ";16.74;8.04;3
"1909ee2c-3e4c-11f0-a7df-6c21638b8e2a";" Standard Class ";" California ";" Art ";14.9;4.17;5
"190a01c8-3e4c-11f0-a7df-6c21638b8e2a";" Standard Class ";" California ";" Storage ";21.39;6.2;1
"190a15a0-3e4c-11f0-a7df-6c21638b8e2a";" Standard Class ";" North Carolina ";" Envelopes ";200.98;62.81;7
"190a2ae0-3e4c-11f0-a7df-6c21638b8e2a";" First Class ";" Illinois ";" Storage ";230.38;-48.95;3
"190a3da0-3e4c-11f0-a7df-6c21638b8e2a";" Second Class ";" South Carolina ";" Chairs ";301.96;33.22;2
"190a518c-3e4c-11f0-a7df-6c21638b8e2a";" Standard Class ";" Minnesota ";" Accessories ";19.99;6.8;1
"190a6ce4-3e4c-11f0-a7df-6c21638b8e2a";" Standard Class ";" Minnesota ";" Labels ";6.16;2.96;2
"190a81c0-3e4c-11f0-a7df-6c21638b8e2a";" Second Class ";" Texas ";" Storage ";158.37;13.86;7
"190a92d2-3e4c-11f0-a7df-6c21638b8e2a";" Standard Class ";" California ";" Art ";20.1;6.63;3
"190aa74a-3e4c-11f0-a7df-6c21638b8e2a";" Standard Class ";" California ";" Phones ";73.58;8.28;2
"190abbae-3e4c-11f0-a7df-6c21638b8e2a";" Standard Class ";" California ";" Paper ";6.48;3.11;1
"190acae0-3e4c-11f0-a7df-6c21638b8e2a";" Second Class ";" Minnesota ";" Paper ";12.96;6.22;2
"190ad9e0-3e4c-11f0-a7df-6c21638b8e2a";" Second Class ";" Minnesota ";" Furnishings ";53.34;16.54;3
"190ae9d0-3e4c-11f0-a7df-6c21638b8e2a";" Second Class ";" Minnesota ";" Binders ";32.96;16.15;2
"190af9ca-3e4c-11f0-a7df-6c21638b8e2a";" Standard Class ";" Oregon ";" Binders ";5.68;-3.79;1
"190b0c3a-3e4c-11f0-a7df-6c21638b8e2a";" Second Class ";" New York ";" Furnishings ";96.53;40.54;7
"190b1bb2-3e4c-11f0-a7df-6c21638b8e2a";" First Class ";" California ";" Binders ";51.31;17.96;3
"190b2bc0-3e4c-11f0-a7df-6c21638b8e2a";" Standard Class ";" Minnesota ";" Appliances ";77.88;22.59;6
"190b3b4c-3e4c-11f0-a7df-6c21638b8e2a";" Standard Class ";" Illinois ";" Paper ";64.62;22.62;7
"190b4a88-3e4c-11f0-a7df-6c21638b8e2a";" Standard Class ";" Illinois ";" Accessories ";95.98;-10.8;3
"190b5bf4-3e4c-11f0-a7df-6c21638b8e2a";" Standard Class ";" Illinois ";" Binders ";1.79;-3.04;3
"190b6b30-3e4c-11f0-a7df-6c21638b8e2a";" Second Class ";" Minnesota ";" Paper ";23.92;11.72;4
"190b79f4-3e4c-11f0-a7df-6c21638b8e2a";" Standard Class ";" Colorado ";" Accessories ";238.9;-26.88;6
"190b89bc-3e4c-11f0-a7df-6c21638b8e2a";" Standard Class ";" Colorado ";" Furnishings ";102.36;-3.84;3
"190b9a38-3e4c-11f0-a7df-6c21638b8e2a";" Standard Class ";" Colorado ";" Binders ";36.88;-25.82;3
"190babf4-3e4c-11f0-a7df-6c21638b8e2a";" Standard Class ";" North Carolina ";" Accessories ";74.11;17.6;8
"190bbc0c-3e4c-11f0-a7df-6c21638b8e2a";" Standard Class ";" North Carolina ";" Phones ";27.99;2.1;1
"190bcb66-3e4c-11f0-a7df-6c21638b8e2a";" Standard Class ";" North Carolina ";" Art ";3.3;1.07;1
"190bdb24-3e4c-11f0-a7df-6c21638b8e2a";" Standard Class ";" Illinois ";" Accessories ";339.96;67.99;5
"190bf1fe-3e4c-11f0-a7df-6c21638b8e2a";" Standard Class ";" New York ";" Furnishings ";41.96;10.91;2
"190c055e-3e4c-11f0-a7df-6c21638b8e2a";" Standard Class ";" Iowa ";" Art ";75.96;22.79;2
"190c1530-3e4c-11f0-a7df-6c21638b8e2a";" Standard Class ";" Iowa ";" Binders ";27.24;13.35;6
"190c24c6-3e4c-11f0-a7df-6c21638b8e2a";" Second Class ";" Ohio ";" Fasteners ";40.1;14.53;14
"190c3736-3e4c-11f0-a7df-6c21638b8e2a";" Second Class ";" Ohio ";" Envelopes ";4.72;1.65;2
"190c4762-3e4c-11f0-a7df-6c21638b8e2a";" Second Class ";" Ohio ";" Paper ";23.98;7.49;3
"190c5b8a-3e4c-11f0-a7df-6c21638b8e2a";" Second Class ";" Ohio ";" Envelopes ";130.46;44.03;6
"190c6cb0-3e4c-11f0-a7df-6c21638b8e2a";" Standard Class ";" Washington ";" Tables ";787.53;165.38;3
"190c7bf6-3e4c-11f0-a7df-6c21638b8e2a";" Standard Class ";" Tennessee ";" Binders ";157.79;-115.72;1
"190c900a-3e4c-11f0-a7df-6c21638b8e2a";" First Class ";" Delaware ";" Furnishings ";47.04;18.35;3
"190c9e7e-3e4c-11f0-a7df-6c21638b8e2a";" First Class ";" Delaware ";" Binders ";30.84;13.88;4
"190cad56-3e4c-11f0-a7df-6c21638b8e2a";" First Class ";" Delaware ";" Storage ";226.56;63.44;6
"190cbd3c-3e4c-11f0-a7df-6c21638b8e2a";" First Class ";" Delaware ";" Envelopes ";115.02;51.76;9
"190ccb9c-3e4c-11f0-a7df-6c21638b8e2a";" First Class ";" Delaware ";" Phones ";68.04;19.73;7
"190cd9b6-3e4c-11f0-a7df-6c21638b8e2a";" Second Class ";" Texas ";" Chairs ";600.56;-8.58;3
"190ceaa0-3e4c-11f0-a7df-6c21638b8e2a";" Standard Class ";" Illinois ";" Tables ";617.7;-407.68;6
"190cf964-3e4c-11f0-a7df-6c21638b8e2a";" Standard Class ";" Arizona ";" Binders ";2.39;-1.83;2
"190d09b8-3e4c-11f0-a7df-6c21638b8e2a";" Standard Class ";" Arizona ";" Storage ";243.99;30.5;7
"190d1b60-3e4c-11f0-a7df-6c21638b8e2a";" Second Class ";" California ";" Chairs ";81.42;-9.16;2
"190d2b6e-3e4c-11f0-a7df-6c21638b8e2a";" Second Class ";" California ";" Furnishings ";238.56;26.24;3
"190d3ac8-3e4c-11f0-a7df-6c21638b8e2a";" First Class ";" Ohio ";" Phones ";59.97;-11.99;5
"190d49d2-3e4c-11f0-a7df-6c21638b8e2a";" First Class ";" Ohio ";" Paper ";78.3;29.36;2
"190d5aee-3e4c-11f0-a7df-6c21638b8e2a";" First Class ";" Ohio ";" Fasteners ";21.46;6.97;9
"190d693a-3e4c-11f0-a7df-6c21638b8e2a";" Standard Class ";" California ";" Paper ";20.04;9.62;3
"190d7916-3e4c-11f0-a7df-6c21638b8e2a";" Standard Class ";" California ";" Paper ";35.44;16.66;1
"190d8b72-3e4c-11f0-a7df-6c21638b8e2a";" Standard Class ";" California ";" Art ";11.52;3.46;4
"190da184-3e4c-11f0-a7df-6c21638b8e2a";" Standard Class ";" California ";" Fasteners ";4.02;1.97;2
"190db2be-3e4c-11f0-a7df-6c21638b8e2a";" Standard Class ";" California ";" Binders ";76.18;26.66;3
"190dc1dc-3e4c-11f0-a7df-6c21638b8e2a";" Standard Class ";" California ";" Supplies ";65.88;18.45;6
"190dce7a-3e4c-11f0-a7df-6c21638b8e2a";" Standard Class ";" California ";" Furnishings ";43.12;20.7;14
"190dda50-3e4c-11f0-a7df-6c21638b8e2a";" Second Class ";" Pennsylvania ";" Furnishings ";82.8;10.35;2
"190dfbf2-3e4c-11f0-a7df-6c21638b8e2a";" Standard Class ";" California ";" Art ";8.82;2.38;3
"190e0912-3e4c-11f0-a7df-6c21638b8e2a";" Standard Class ";" California ";" Envelopes ";10.86;5.1;3
"190e145c-3e4c-11f0-a7df-6c21638b8e2a";" Standard Class ";" California ";" Paper ";143.7;68.98;3
"190e1fba-3e4c-11f0-a7df-6c21638b8e2a";" Standard Class ";" Missouri ";" Appliances ";839.43;218.25;3
"190e2d66-3e4c-11f0-a7df-6c21638b8e2a";" Standard Class ";" California ";" Storage ";671.93;20.16;7
"190e3914-3e4c-11f0-a7df-6c21638b8e2a";" Standard Class ";" Ohio ";" Furnishings ";93.89;12.91;4
"190e43f0-3e4c-11f0-a7df-6c21638b8e2a";" Standard Class ";" Wisconsin ";" Phones ";384.45;103.8;11
"190e4f80-3e4c-11f0-a7df-6c21638b8e2a";" Standard Class ";" Wisconsin ";" Phones ";149.97;6.0;3
"190e5aa2-3e4c-11f0-a7df-6c21638b8e2a";" Standard Class ";" Wisconsin ";" Chairs ";1951.84;585.55;8
"190e66dc-3e4c-11f0-a7df-6c21638b8e2a";" Standard Class ";" Wisconsin ";" Binders ";171.55;80.63;5
"190e71cc-3e4c-11f0-a7df-6c21638b8e2a";" First Class ";" Arizona ";" Appliances ";157.92;17.77;5
"190e7df2-3e4c-11f0-a7df-6c21638b8e2a";" First Class ";" Arizona ";" Phones ";203.18;15.24;2
"190e893c-3e4c-11f0-a7df-6c21638b8e2a";" First Class ";" California ";" Paper ";58.38;26.27;7
"190e93b4-3e4c-11f0-a7df-6c21638b8e2a";" First Class ";" California ";" Paper ";105.52;48.54;4
"190e9e36-3e4c-11f0-a7df-6c21638b8e2a";" First Class ";" California ";" Storage ";80.88;21.03;6
"190ea872-3e4c-11f0-a7df-6c21638b8e2a";" Standard Class ";" Washington ";" Art ";6.63;1.79;3
"190eb2c2-3e4c-11f0-a7df-6c21638b8e2a";" Second Class ";" Washington ";" Chairs ";457.57;51.48;2
"190ebd94-3e4c-11f0-a7df-6c21638b8e2a";" Standard Class ";" Oklahoma ";" Labels ";14.62;6.87;2
"190ec816-3e4c-11f0-a7df-6c21638b8e2a";" Standard Class ";" Oklahoma ";" Phones ";944.93;236.23;7
"190ed284-3e4c-11f0-a7df-6c21638b8e2a";" First Class ";" California ";" Paper ";5.98;2.69;1
"190edde2-3e4c-11f0-a7df-6c21638b8e2a";" Second Class ";" Pennsylvania ";" Accessories ";54.38;1.36;2
"190eea30-3e4c-11f0-a7df-6c21638b8e2a";" Standard Class ";" New Mexico ";" Envelopes ";28.4;13.35;5
"190ef566-3e4c-11f0-a7df-6c21638b8e2a";" Standard Class ";" Washington ";" Binders ";27.68;9.69;2
"190f0380-3e4c-11f0-a7df-6c21638b8e2a";" Standard Class ";" Texas ";" Art ";9.94;2.73;3
"190f132a-3e4c-11f0-a7df-6c21638b8e2a";" Standard Class ";" Texas ";" Machines ";8159.95;-1359.99;8
"190f225c-3e4c-11f0-a7df-6c21638b8e2a";" Standard Class ";" Texas ";" Storage ";275.93;-58.63;3
"190f2de2-3e4c-11f0-a7df-6c21638b8e2a";" Standard Class ";" Texas ";" Chairs ";1740.06;-24.86;9
"190f3daa-3e4c-11f0-a7df-6c21638b8e2a";" Standard Class ";" Texas ";" Art ";32.06;6.81;6
"190f4a0c-3e4c-11f0-a7df-6c21638b8e2a";" Standard Class ";" Texas ";" Appliances ";177.98;-453.85;5
"190f5574-3e4c-11f0-a7df-6c21638b8e2a";" Standard Class ";" Texas ";" Phones ";143.98;9.0;3
"190f6064-3e4c-11f0-a7df-6c21638b8e2a";" Standard Class ";" California ";" Paper ";20.94;9.84;3
"190f6c26-3e4c-11f0-a7df-6c21638b8e2a";" Standard Class ";" California ";" Paper ";110.96;53.26;2
"190f77de-3e4c-11f0-a7df-6c21638b8e2a";" Standard Class ";" California ";" Chairs ";340.14;21.26;7
"190f836e-3e4c-11f0-a7df-6c21638b8e2a";" Standard Class ";" Illinois ";" Appliances ";52.45;-131.12;2
"190f8f94-3e4c-11f0-a7df-6c21638b8e2a";" Standard Class ";" Illinois ";" Labels ";20.16;6.55;4
"190f9bba-3e4c-11f0-a7df-6c21638b8e2a";" Second Class ";" Texas ";" Appliances ";97.26;-243.16;4
"190fa600-3e4c-11f0-a7df-6c21638b8e2a";" Second Class ";" Ohio ";" Chairs ";396.8;-11.34;7
"190fb10e-3e4c-11f0-a7df-6c21638b8e2a";" Second Class ";" Ohio ";" Supplies ";15.88;-3.77;5
"190fbbd6-3e4c-11f0-a7df-6c21638b8e2a";" Standard Class ";" New York ";" Art ";3.28;1.41;1
"190fc6b2-3e4c-11f0-a7df-6c21638b8e2a";" Second Class ";" Illinois ";" Storage ";24.82;1.86;2
"190fd1ac-3e4c-11f0-a7df-6c21638b8e2a";" Second Class ";" Illinois ";" Accessories ";408.74;76.64;7
"190fdc9c-3e4c-11f0-a7df-6c21638b8e2a";" Second Class ";" Louisiana ";" Phones ";503.96;131.03;4
"190fe91c-3e4c-11f0-a7df-6c21638b8e2a";" Second Class ";" Louisiana ";" Phones ";149.95;41.99;5
"190ff47a-3e4c-11f0-a7df-6c21638b8e2a";" Second Class ";" Louisiana ";" Accessories ";29.0;7.25;2
"190ffbe6-3e4c-11f0-a7df-6c21638b8e2a";" Standard Class ";" Connecticut ";" Binders ";7.16;3.44;2
"1910076c-3e4c-11f0-a7df-6c21638b8e2a";" Standard Class ";" California ";" Accessories ";176.8;22.98;8
